strategy,rebalance_date,train_start,train_end,feature,rule,direction,q25,q75,val_sharpe,val_expectancy,train_sharpe,train_expectancy,train_obs
iron_condor,2019-11-27,2017-05-03,2019-11-18,weekday,q25_reversion,1,0.0,4.0,5.17835526035544,0.028882670559634123,-1.0871647018876047,-0.006605400636221463,226
iron_condor,2020-02-26,2017-08-21,2020-02-24,pnl_l1,q25_reversion,1,-0.1123854050126327,0.10762315429723689,3.701549297960452,0.019375880523968055,-0.3263679712411695,-0.0023911202502324494,201
iron_condor,2020-04-13,2017-12-01,2020-04-09,overnight_gap,q25_reversion,-1,-0.0015716102467170613,0.0030660188233852703,5.589641832088172,0.047870209018575076,2.4324855142880955,0.015710671891546468,204
iron_condor,2020-06-10,2018-02-12,2020-06-08,mom_5d,q25_reversion,-1,-0.009722791551020182,0.014811008174738127,5.698996820335259,0.03000546998179451,1.0655181193231107,0.007286090594468901,204
iron_condor,2020-08-12,2018-04-06,2020-08-03,mom_5d,q25_reversion,-1,-0.010264174508738816,0.014676303970036386,3.8100724104310943,0.01828096068249733,1.28756440832017,0.008020632648882151,202
iron_condor,2020-10-09,2018-07-23,2020-10-07,slope_dn,q25_reversion,-1,4.215513713314401,6.728242779159593,2.504516242023143,0.017297405941633908,-0.2596909463960189,-0.0017583412397953776,204
iron_condor,2020-12-14,2018-09-26,2020-12-04,isk,q75_momentum,1,-2.08895700739658e-05,-3.7459371444677765e-06,3.54762807942783,0.011425031736525567,1.798257243266796,0.009597933703177273,200
iron_condor,2021-03-03,2018-11-30,2021-02-26,overnight_gap,q25_reversion,-1,-0.0024898238721479454,0.004045894364408471,3.4320099759130085,0.025023859245214112,1.6621275580180157,0.011003805339504876,202
iron_condor,2021-05-14,2019-02-01,2021-05-12,overnight_gap,q75_momentum,1,-0.002189165698992497,0.004045410495302252,4.200885856199033,0.014689693656796914,1.3812938243386892,0.008298185640406196,204
iron_condor,2021-08-02,2019-04-05,2021-07-28,reversion_z20,q25_reversion,-1,-0.32531442800602456,1.4938609670721743,3.625657393396495,0.01838943490528274,0.5272324394409008,0.003673521223880748,204
iron_condor,2021-10-08,2019-06-19,2021-10-01,slope_dn,q75_momentum,1,4.354817262739444,7.24179550747508,3.78564103528387,0.013752146276489054,0.31199150584463103,0.0020129717209183104,204
iron_condor,2021-12-13,2019-09-03,2021-12-10,month,q75_momentum,-1,4.0,10.0,4.623297170079947,0.04125661627502851,-0.22807217475459943,-0.0014160665346157398,208
iron_condor,2022-02-11,2019-11-27,2022-02-07,is_opex,q25_reversion,-1,0.0,0.0,5.160153860509488,0.06539755507281143,1.3265278482755856,0.01629343160541927,746
iron_condor,2022-04-06,2020-02-26,2022-04-01,mom_5d,q25_reversion,-1,-0.008497945051098132,0.018196770530108264,5.34029699229541,0.04590924433736193,2.252612788282849,0.014093274296119269,204
iron_condor,2022-05-19,2020-04-13,2022-05-18,overnight_gap,q25_reversion,-1,-0.0014823272004553067,0.002941147515161017,6.1244563090959545,0.047307580734082165,1.1238054063649956,0.00758402831331656,202
iron_condor,2022-06-27,2020-06-10,2022-06-24,weekday,q75_momentum,-1,0.0,4.0,3.455695713528524,0.020696325612607668,-0.10166489468064184,-0.0007697940257928415,258
iron_condor,2022-08-02,2020-08-12,2022-07-29,weekday,q75_momentum,-1,0.0,4.0,5.286333952318396,0.022986961393168092,-0.1639290677485805,-0.0012092034400258756,256
iron_condor,2022-09-20,2020-10-09,2022-09-19,pnl_l1,q75_momentum,-1,-0.1289738393863354,0.0922713822747674,5.137188710710887,0.03389979220460878,0.9392767642793352,0.006617817832394104,202
iron_condor,2022-10-19,2020-12-14,2022-10-18,reversion_z20,q75_momentum,-1,-0.9916450964832558,1.2324691349969525,3.3724354451712313,0.01740862773429746,0.22115314828260765,0.0013021413567888126,204
iron_condor,2022-11-23,2021-03-03,2022-11-21,SPX_lret,q75_momentum,1,-0.006301770876546655,0.004355116566535375,3.007009757838423,0.024653206636064236,-1.8583203762221214,-0.010936876046726116,204
iron_condor,2023-01-03,2021-05-14,2022-12-30,isk,q25_reversion,-1,-1.876881839895392e-05,-3.3680255323203026e-06,3.1599352244668912,0.01586105102012651,1.4448057207973042,0.009613716911820286,200
iron_condor,2023-03-16,2021-08-02,2023-03-15,slope_dn,q25_reversion,-1,1.7008960779117535,5.253374738215025,4.532077599652233,0.03311484862665452,-0.33152231227208556,-0.002330821095650094,202
iron_condor,2023-05-08,2021-10-08,2023-05-03,vix,q25_reversion,-1,7.306882318000991e-05,0.00017342592114808866,4.563255495179386,0.04678137633927798,1.6312197245246425,0.012170159205409278,200
iron_condor,2023-06-23,2021-12-13,2023-06-21,weekday,q75_momentum,-1,1.0,4.0,3.1834863663538204,0.013889373483619568,1.9248694563220812,0.012890665210649077,208
iron_condor,2023-08-08,2022-02-11,2023-08-07,overnight_gap,q75_momentum,1,-0.004485242064621986,0.003342476239076331,2.7198127346649845,0.010829483454233027,-0.6218388521033796,-0.004428309063287209,204
iron_condor,2023-09-15,2022-04-06,2023-09-14,reversion_z20,q75_momentum,1,-1.207586901382596,1.1415958521795984,3.2541079090421996,0.021623812103423484,-1.6286256161766606,-0.01040313264478595,202
iron_condor,2023-10-24,2022-05-19,2023-10-23,weekday,q75_momentum,-1,1.0,3.0,3.7589475125776106,0.03469365647630187,2.405309775161781,0.01839675037259265,312
iron_condor,2023-12-04,2022-06-27,2023-12-01,weekday,q75_momentum,-1,1.0,3.0,5.340430737862959,0.04169769922850025,2.4150950767124306,0.019116861672237466,308
iron_condor,2024-01-19,2022-08-02,2024-01-17,weekday,q75_momentum,-1,1.0,3.0,4.155465243550465,0.02855590111507129,2.2573046515546062,0.018153091693002603,314
iron_condor,2024-03-12,2022-09-20,2024-03-11,SPX_lrv_skew,q25_reversion,1,-0.3735702093553091,0.2520142818434271,3.7570860056818605,0.009590439274305137,-0.37671870390622336,-0.0025824173947309017,204
